Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
ATT;202506051750;3.60;-;0.00;64.00;87.70;1.80;206.00;18.70;27.00;732.60;-;1023.20;-;3103.60;-;-;-;-;-;-
CHB;202506051750;14.20;0.00;-;-;85.90;11.90;225.00;9.40;16.20;897.20;-;1017.10;1500.10;-;-;-;-;-;-;-
DIA;202506051750;1.30;-;-;22.00;99.20;1.20;226.00;32.80;49.70;711.90;-;1023.60;-;3100.50;-;-;-;-;-;-
MAR;202506051750;16.60;0.00;-;-;58.40;8.40;206.00;4.00;12.60;-;-;-;-;-;-;-;-;-;-;-
OTL;202506051750;17.40;0.00;0.00;60.00;88.70;15.50;51.00;1.80;4.00;972.30;1015.60;1016.60;-;-;-;-;-;-;-;-
LUG;202506051750;18.80;0.00;0.00;43.00;85.40;16.30;180.00;4.30;9.70;980.20;1015.10;1015.90;-;-;-;-;-;-;-;-
LUZ;202506051750;18.70;0.00;0.00;61.00;75.90;14.40;169.00;1.80;2.90;961.50;1013.60;1015.10;-;-;-;-;-;-;-;-
LAE;202506051750;14.90;-;0.00;70.00;87.60;12.90;161.00;11.50;16.60;918.30;-;1016.00;1495.20;-;-;-;-;-;-;-
MAG;202506051750;18.50;0.00;0.00;54.00;85.70;16.10;58.00;4.70;7.20;991.70;1015.60;1016.10;-;-;-;-;-;-;-;-
MAS;202506051750;17.70;0.00;-;-;67.80;11.70;246.00;10.80;22.70;-;-;-;-;-;-;-;-;-;-;-
MAH;202506051750;18.20;0.00;0.00;27.00;76.90;14.10;206.00;4.00;7.20;963.60;1013.70;1015.00;-;-;-;-;-;-;-;-
MTR;202506051750;6.40;-;0.00;42.00;97.10;6.00;131.00;20.20;24.80;783.20;-;1021.80;1512.80;-;-;-;-;-;-;-
MER;202506051750;18.70;0.00;0.00;51.00;81.10;15.40;200.00;0.70;2.50;946.40;1013.20;1015.40;-;-;-;-;-;-;-;-
MOB;202506051750;17.90;0.00;-;-;60.20;10.10;202.00;2.90;6.10;919.20;-;1016.40;1505.00;-;-;-;-;-;-;-
MVE;202506051750;14.00;0.00;0.00;30.00;63.20;7.10;252.00;3.20;12.60;858.40;-;1018.90;1507.30;-;-;-;-;-;-;-
