station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ABO;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1217.6;;;;;;;;;;;
ABO;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1201.1;;;;;;;;;;;
ABO;01.01.1903 00:00;;;;;;;;;;;;;;;;;;1082.4;;;;;;;;;;;
ABO;01.01.1904 00:00;;;;;;;;;;;;;;;;;;1195.1;;;;;;;;;;;
ABO;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1254.8;;;;;;;;;;;
ABO;01.01.1906 00:00;;;;;;;;;;;;;;;;;;924.3;;;;;;;;;;;
ABO;01.01.1907 00:00;;;;;;;;;;;;;;;;;;1144;;;;;;;;;;;
ABO;01.01.1908 00:00;;;;;;;;;;;;;;;;;;1006.9;;;;;;;;;;;
ABO;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1027;;;;;;;;;;;
ABO;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1384.7;;;;;;;;;;;
ABO;01.01.1911 00:00;;;;;;;;;;;;;;;;;;973.3;;;;;;;;;;;
ABO;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1229.6;;;;;;;;;;;
ABO;01.01.1913 00:00;;;;;;;;;;;;;;;;;;1046.5;;;;;;;;;;;
ABO;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1409.9;;;;;;;;;;;
ABO;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1169.4;;;;;;;;;;;
ABO;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1289.3;;;;;;;;;;;
ABO;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1269.8;;;;;;;;;;;
ABO;01.01.1918 00:00;;;;;;;;;;;;;;;;;;1365.4;;;;;;;;;;;
ABO;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1445.8;;;;;;;;;;;
ABO;01.01.1920 00:00;;;;;;;;;;;;;;;;;;989.1;;;;;;;;;;;
ABO;01.01.1921 00:00;;;;;;;;;;;;;;;;;;1045.7;;;;;;;;;;;
ABO;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1676.1;;;;;;;;;;;
ABO;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1268.7;;;;;;;;;;;
ABO;01.01.1924 00:00;;;;;;;;;;;;;;;;;;1118.6;;;;;;;;;;;
ABO;01.01.1925 00:00;;;;;;;;;;;;;;;;;;1217.6;;;;;;;;;;;
ABO;01.01.1926 00:00;;;;;;;;;;;;;;;;;;1342.3;;;;;;;;;;;
ABO;01.01.1927 00:00;;;;;;;;;;;;;;;;;;1451.1;;;;;;;;;;;
ABO;01.01.1928 00:00;;;;;;;;;;;;;;;;;;1628;;;;;;;;;;;
ABO;01.01.1929 00:00;;;;;;;;;;;;;;;;;;1291.7;;;;;;;;;;;
ABO;01.01.1930 00:00;;;;;;;;;;;;;;;;;;1746.5;;;;;;;;;;;
ABO;01.01.1931 00:00;;;;;;;;;;;;;;;;;;1389.7;;;;;;;;;;;
ABO;01.01.1932 00:00;;;;;;;;;;;;;;;;;;1475.9;;;;;;;;;;;
ABO;01.01.1933 00:00;;;;;;;;;;;;;;;;;;1189.4;;;;;;;;;;;
ABO;01.01.1934 00:00;;;;;;;;;;;;;;;;;;956;;;;;;;;;;;
ABO;01.01.1935 00:00;;;;;;;;;;;;;;;;;;1580.3;;;;;;;;;;;
ABO;01.01.1936 00:00;;;;;;;;;;;;;;;;;;1570.8;;;;;;;;;;;
ABO;01.01.1937 00:00;;;;;;;;;;;;;;;;;;1373.8;;;;;;;;;;;
ABO;01.01.1938 00:00;;;;;;;;;;;;;;;;;;1139.8;;;;;;;;;;;
ABO;01.01.1939 00:00;;;;;;;;;;;;;;;;;;1512.7;;;;;;;;;;;
ABO;01.01.1940 00:00;;;;;;;;;;;;;;;;;;1543.5;;;;;;;;;;;
ABO;01.01.1941 00:00;;;;;;;;;;;;;;;;;;1113.2;;;;;;;;;;;
ABO;01.01.1942 00:00;;;;;;;;;;;;;;;;;;1062.2;;;;;;;;;;;
ABO;01.01.1943 00:00;;;;;;;;;;;;;;;;;;1070.9;;;;;;;;;;;
ABO;01.01.1944 00:00;;;;;;;;;;;;;;;;;;1527.9;;;;;;;;;;;
ABO;01.01.1945 00:00;;;;;;;;;;;;;;;;;;1286.3;;;;;;;;;;;
ABO;01.01.1946 00:00;;;;;;;;;;;;;;;;;;1202.5;;;;;;;;;;;
ABO;01.01.1947 00:00;;;;;;;;;;;;;;;;;;1154.5;;;;;;;;;;;
ABO;01.01.1948 00:00;;;;;;;;;;;;;;;;;;1195.9;;;;;;;;;;;
ABO;01.01.1949 00:00;;;;;;;;;;;;;;;;;;996.3;;;;;;;;;;;
ABO;01.01.1950 00:00;;;;;;;;;;;;;;;;;;1400.1;;;;;;;;;;;
ABO;01.01.1951 00:00;;;;;;;;;;;;;;;;;;1163.6;;;;;;;;;;;
ABO;01.01.1952 00:00;;;;;;;;;;;;;;;;;;1393;;;;;;;;;;;
ABO;01.01.1953 00:00;;;;;;;;;;;;;;;;;;891.2;;;;;;;;;;;
ABO;01.01.1954 00:00;;;;;;;;;;;;;;;;;;1458.8;;;;;;;;;;;
ABO;01.01.1955 00:00;;;;;;;;;;;;;;;;;;1402.4;;;;;;;;;;;
ABO;01.01.1956 00:00;;;;;;;;;;;;;;;;;;1273.4;;;;;;;;;;;
ABO;01.01.1957 00:00;;;;;;;;;;;;;;;;;;1238.2;;;;;;;;;;;
ABO;01.01.1958 00:00;;;;;;;;;;;;;;;;;;1587;;;;;;;;;;;
ABO;01.01.1959 00:00;6.3;;;;;;73.3;7.8;;;;;;;;;;1107.5;;;;;;;;;4526.4;;
ABO;01.01.1960 00:00;5.6;;;;;;76.8;7.7;;;;;;;;;;1406.1;;;;;;;;;4897.8;;
ABO;01.01.1961 00:00;6.6;;;;;;74.5;7.9;;;;;;;;;;1305.2;;;;;;;;;4480.6;;
ABO;01.01.1962 00:00;4.8;;;;;;73.4;7.1;;;;;;;;;;1241.9;;;;;;;;;5146.8;;
ABO;01.01.1963 00:00;4.7;;;;;;72.5;7.3;;;;;;;;;;1155.2;;;;;;;;;5158.8;;
ABO;01.01.1964 00:00;5.8;;;;;;69.2;7.1;;;;;;;;;;1067.9;;;;;;;;;4780.5;;
ABO;01.01.1965 00:00;4.7;;;;;;77.8;7.4;;;;;;;;;;1708.2;;;;;;;;;5307.5;;
ABO;01.01.1966 00:00;5.6;;;;;;76.8;7.6;;;;;;1.7;;;6.1;1393.9;;;;;;;;;4873.2;;
ABO;01.01.1967 00:00;5.7;28;-19.1;;;;76.6;7.8;;;;;;2;;;7.2;1307.7;;;;;101502;52;;;4819.9;;
ABO;01.01.1968 00:00;5.3;29.4;-20;;;;79.3;7.7;;;;;;1.4;;;5;1497.6;;;;;93918;48;;;5086.6;;
ABO;01.01.1969 00:00;4.8;28;-16.4;;;;78.5;7.6;;;;;;1.1;;;4;1189;;;;;91776;48;;;5207;;
ABO;01.01.1970 00:00;4.9;26.3;-17.1;;;;76.4;7.4;;;;;;1.4;;;5;1481.2;;;;;88674;44;;;5077.8;;
ABO;01.01.1971 00:00;5.5;28.6;-20.3;;;;77.2;7.5;;;;;;0.7;;;2.5;1144.7;;;;;103998;54;;;4890.7;;
ABO;01.01.1972 00:00;5.1;25.6;-12;;;;80.9;7.4;862.6;;;;;1;;;3.6;1182.3;;;;;87636;46;;;5237.1;;
ABO;01.01.1973 00:00;5;26.3;-19.4;;;;79.8;7.5;864.5;;;;;1;;;3.6;1229.6;;;;;93000;48;;;5019.7;;
ABO;01.01.1974 00:00;5.1;28.1;-11;;;;81.2;7.5;862.7;;;;;0.8;;;3.2;1515.7;;;;;83196;41;;;5069.2;;
ABO;01.01.1975 00:00;5.3;27.9;-11.6;;;;80.4;7.6;864;;;;;0.8;;;3.2;1258.2;;;;;92748;48;;;4960.2;;
ABO;01.01.1976 00:00;5.2;25.3;-16.2;;;;79.9;7.4;862.9;;;;;0.8;;;2.9;1050.2;;;;;96144;48;;;5054.4;;
ABO;01.01.1977 00:00;5.5;25.7;-14;;;;79.1;7.4;862.8;;;;;0.8;;;2.9;1535.7;;;;;78672;40;;;4986;;
ABO;01.01.1978 00:00;4.9;23.9;-15.5;;;;76.4;6.8;862.1;;;;;0.8;;;2.9;1407.7;;;;;84006;44;;;5215.8;;
ABO;01.01.1979 00:00;5.1;26.6;-19.8;;;;81.4;7.7;862.1;;;;;0.8;;;2.9;1694.9;;;;;85890;43;;;4975.1;;
